time,time_s,INV_Power_On_Timer,INV_Torque_Feedback,INV_Commanded_Torque,INV_Run_Fault_Hi,INV_Post_Fault_Hi,INV_Run_Fault_Lo,INV_Post_Fault_Lo,INV_Direction_Command,INV_Inverter_Enable_State,INV_Relay_3_Status,INV_Relay_4_Status,INV_Relay_2_Status,INV_Inverter_Run_Mode,INV_Inverter_Command_Mode,INV_Relay_1_Status,INV_Inverter_State,INV_VSM_State,INV_Inverter_Enable_Lockout,INV_Inverter_Discharge_State,INV_Relay_5_Status,INV_Relay_6_Status,INV_BMS_Active,INV_BMS_Torque_Limiting,INV_Max_Speed_Limiting,INV_Low_Speed_Limiting,INV_Rolling_Counter,INV_PWM_Frequency,INV_Start_Mode_Active,INV_Reference_Voltage_12_0,INV_Reference_Voltage_5_0,INV_Reference_Voltage_2_5,INV_Reference_Voltage_1_5,INV_VBC_Vq_Voltage,INV_VAB_Vd_Voltage,INV_Output_Voltage,INV_DC_Bus_Voltage,INV_DC_Bus_Current,INV_Phase_C_Current,INV_Phase_B_Current,INV_Phase_A_Current,INV_Delta_Resolver_Filtered,INV_Electrical_Output_Frequency,INV_Motor_Speed,INV_Motor_Angle_Electrical,INV_Torque_Shudder,INV_Motor_Temperature,INV_RTD5_Temperature,INV_RTD4_Temperature,INV_RTD3_Temperature,INV_RTD2_Temperature,INV_RTD1_Temperature,INV_Control_Board_Temperature,INV_Gate_Driver_Board,INV_Module_C,INV_Module_B,INV_Module_A,INV_Diag_Record,INV_Diag_Segment,INV_Diag_Gamma_Resolver,INV_Diag_Gamma_Observer,INV_Diag_Sin,INV_Diag_Cos,INV_Diag_Ia,INV_Diag_Ib,INV_Diag_Ic,INV_Diag_Vdc,INV_Diag_Iq_cmd,INV_Diag_Id_cmd,INV_Diag_Mod_Index,INV_Diag_FW_Output,INV_Diag_Vq_Cmd,INV_Diag_Vd_Cmd,INV_Diag_Vqs_Cmd,INV_Diag_12V,INV_Diag_Run_Faults_Lo,INV_Diag_Run_Faults_Hi,INV_Analog_Input_1,INV_Analog_Input_2,INV_Analog_Input_3,INV_Analog_Input_4,INV_Analog_Input_5,INV_Analog_Input_6,INV_DateCode_MMDD,INV_DateCode_YYYY,INV_Digital_Input_1,INV_Digital_Input_2,INV_Digital_Input_3,INV_Digital_Input_4,INV_Digital_Input_5,INV_Digital_Input_6,INV_Digital_Input_7,INV_Digital_Input_8,INV_Flux_Command,INV_Flux_Feedback,INV_Flux_Weakening_Output,INV_Id,INV_Id_Command,INV_Iq,INV_Iq_Command,INV_Modulation_Index,INV_Project_Code_EEP_Ver,INV_SW_Version
2026-08-07T15:42:37.500Z,0.21,84.462,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.6,0.0,0.1,0.9,0.4,-55.2,0.0,0.0,55.3,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,0.0,55.6,55.400000000000006,0.0,0.0,0.4,-0.1,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-0.9,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.512Z,0.222,84.474,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.5,0.0,-0.4,-0.2,0.9,-55.2,0.0,0.0,55.400000000000006,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,1.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.524Z,0.234,84.486,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.5,0.0,0.1,-0.1,1.5,-55.2,0.0,0.0,55.3,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,2.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.17,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.4,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.536Z,0.246,84.498,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.6,0.0,0.1,-0.7000000000000001,-0.7000000000000001,-55.2,0.0,0.0,55.2,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,3.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.17,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-1.5,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.548Z,0.258,84.51,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.5,0.0,0.1,0.4,0.4,-55.2,0.0,0.0,55.3,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,4.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.560Z,0.27,84.522,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.5,0.0,0.1,0.4,-0.7000000000000001,-55.2,0.0,0.0,55.3,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,3.0,5.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.6000000000000001,0.0,-0.3,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.572Z,0.282,84.534,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,12.46,5.0200000000000005,2.51,1.5,0.0,0.0,0.0,301.5,0.0,0.1,-0.1,-0.1,-55.2,0.0,0.0,55.3,0.0,22.1,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.700000000000003,30.4,26.200000000000003,25.5,27.3,4.0,0.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.9,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.584Z,0.294,84.546,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,-0.6000000000000001,-0.7000000000000001,-55.2,0.0,0.0,55.3,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,4.0,1.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.596Z,0.306,84.558,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.40000000000003,0.0,0.8,0.4,0.3,-55.2,0.0,0.0,55.400000000000006,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,4.0,2.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.608Z,0.318,84.57000000000001,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.1,0.0,301.5,0.0,-0.9,-0.1,-1.3,-55.2,0.0,0.0,55.2,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,4.0,3.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.4,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.620Z,0.33,84.58200000000001,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.40000000000003,0.0,0.8,-0.6000000000000001,-0.7000000000000001,-55.2,0.0,0.0,55.400000000000006,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,4.0,4.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-1.3,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.632Z,0.342,84.59400000000001,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,0.0,1.6,-55.2,0.0,0.0,55.3,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,4.0,5.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.6,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.643Z,0.353,84.60600000000001,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.5,0.0,0.2,0.0,-0.6000000000000001,-55.2,0.0,0.0,55.400000000000006,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,0.0,55.6,55.400000000000006,0.0,0.0,-0.1,0.3,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,-0.7000000000000001,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.656Z,0.366,84.618,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,-0.6000000000000001,-0.7000000000000001,-55.2,0.0,0.0,55.3,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,1.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,0.2,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-1.3,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.668Z,0.378,84.63,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.45,5.01,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,-0.6000000000000001,-1.8,-55.2,0.0,0.0,55.3,0.0,22.6,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,2.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-2.5,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.680Z,0.39,84.642,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,0.2,1.0,1.6,-55.2,0.0,0.0,55.2,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,3.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.7,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.692Z,0.402,84.654,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,0.2,1.0,-0.1,-55.2,0.0,0.0,55.2,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,4.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,0.0,0.8,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.704Z,0.414,84.666,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,12.47,5.01,2.5,1.49,-0.1,0.0,0.0,301.5,0.0,-0.8,0.0,0.0,-55.2,0.0,0.0,55.5,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,5.0,5.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.716Z,0.426,84.678,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,-0.1,1.7000000000000002,-55.3,0.0,0.0,55.400000000000006,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,0.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,-0.1,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,1.6,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.728Z,0.438,84.69,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,0.2,0.5,-0.1,-55.3,0.0,0.0,55.400000000000006,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,1.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.9,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.3,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.740Z,0.45,84.702,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,0.3,1.0,0.0,-55.3,0.0,0.0,55.6,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,2.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,0.0,0.9,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.752Z,0.462,84.714,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,1.0,-0.1,-55.3,0.0,0.0,55.5,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,3.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,0.0,0.9,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.764Z,0.474,84.726,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,0.2,-0.6000000000000001,-0.1,-55.3,0.0,0.0,55.6,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,4.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.7000000000000001,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.776Z,0.486,84.738,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,12.47,5.01,2.5,1.49,0.0,0.0,0.0,301.5,0.0,-0.3,0.5,1.6,-55.3,0.0,0.0,55.400000000000006,0.0,21.9,26.700000000000003,26.700000000000003,28.3,300.0,300.0,26.5,30.4,26.200000000000003,25.5,27.3,6.0,5.0,55.6,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.2,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.788Z,0.498,84.75,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,12.45,5.0,2.51,1.49,0.0,0.0,0.0,301.6,0.0,0.2,1.7000000000000002,0.4,-55.3,0.0,0.0,55.400000000000006,0.0,22.3,26.700000000000003,26.700000000000003,28.200000000000003,300.0,300.0,26.6,30.3,26.200000000000003,25.5,27.3,7.0,0.0,55.400000000000006,55.400000000000006,0.0,0.0,-0.7000000000000001,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.0,2.1,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.800Z,0.51,84.762,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,12.45,5.0,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-0.2,0.5,0.0,-55.3,0.0,0.0,55.3,0.0,22.3,26.700000000000003,26.700000000000003,28.200000000000003,300.0,300.0,26.6,30.3,26.200000000000003,25.5,27.3,7.0,1.0,55.400000000000006,55.400000000000006,0.0,0.0,1.0,1.5,-0.3,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.95,2.0,4.97,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.4,0.0,0.0,16.0,25903.0
2026-08-07T15:42:37.812Z,0.522,84.774,0.0,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,12.45,5.0,2.51,1.49,0.0,0.0,0.0,301.5,0.0,0.8,1.7000000000000002,-1.2000000000000002,-55.3,0.0,0.0,55.400000000000006,0.0,22.3,26.700000000000003,26.700000000000003,28.200000000000003,300.0,300.0,26.6,30.3,26.200000000000003,25.5,27.3,7.0,2.0,55.400000000000006,55.400000000000006,0.0,0.0,1.0,1.5,0.8,301.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,4.96,2.0,4.96,0.16,0.0,0.0,1027.0,8228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.7000000000000002,0.0,0.3,0.0,0.0,16.0,25903.0
